participant_id,name,email,domain,skills,experience_level,availability,leadership_preference,is_available,wants_to_lead
P_118,Participant_118,participant118@hackathon.com,data_science,"['TensorFlow', 'Machine Learning', 'Design Systems', 'Communication']",intermediate,High,Lead,True,True
P_119,Participant_119,participant119@hackathon.com,business,"['Problem Solving', 'Communication', 'AgriTech', 'HTML', 'FinTech']",advanced,Medium,Follow,True,True
P_120,Participant_120,participant120@hackathon.com,cloud_devops,"['AWS', 'DevOps', 'Problem Solving', 'Figma', 'Docker', 'Presentation', 'Design Systems']",beginner,High,Follow,True,False
P_121,Participant_121,participant121@hackathon.com,frontend,"['AWS', 'Leadership', 'Docker', 'CSS', 'Presentation', 'React']",intermediate,High,Lead,True,False
P_122,Participant_122,participant122@hackathon.com,robotics,"['IoT', 'Embedded Systems', 'Presentation', 'Teamwork', 'Robotics', 'Deep Learning']",intermediate,High,Collaborate,True,False
P_123,Participant_123,participant123@hackathon.com,frontend,"['Leadership', 'iOS Development', 'Angular', 'Teamwork', 'React', 'Android Development', 'HTML']",intermediate,High,Follow,True,True
P_124,Participant_124,participant124@hackathon.com,design,"['SQL', 'UI/UX', 'Photoshop', 'Figma', 'Presentation', 'Teamwork', 'Data Analysis']",beginner,High,Follow,True,True
P_125,Participant_125,participant125@hackathon.com,cloud_devops,"['DevOps', 'Azure', 'Docker', 'Communication', 'Kubernetes', 'Teamwork', 'PyTorch']",beginner,High,Lead,True,False
P_126,Participant_126,participant126@hackathon.com,mobile,"['Problem Solving', 'iOS Development', 'Azure', 'React Native', 'Communication', 'Kubernetes', 'Android Development']",intermediate,Low,Follow,True,True
P_127,Participant_127,participant127@hackathon.com,ai_ml,"['Computer Vision', 'Sensors', 'AI/ML', 'Scikit-learn', 'Presentation', 'Teamwork', 'Deep Learning']",beginner,Medium,Collaborate,False,False
P_128,Participant_128,participant128@hackathon.com,frontend,"['DevOps', 'Problem Solving', 'HTML', 'Communication', 'CSS', 'Angular', 'Kubernetes', 'Vue.js']",advanced,Medium,Collaborate,True,False
P_129,Participant_129,participant129@hackathon.com,ai_ml,"['AI/ML', 'NLP', 'React Native', 'Scikit-learn', 'Communication', 'Deep Learning', 'Android Development']",intermediate,Low,Lead,True,False
P_130,Participant_130,participant130@hackathon.com,design,"['UI/UX', 'Figma', 'Presentation', 'Design Systems', 'FinTech']",advanced,High,Collaborate,True,False
P_131,Participant_131,participant131@hackathon.com,mobile,"['iOS Development', 'IoT', 'React Native', 'Presentation', 'Android Development']",intermediate,Medium,Lead,False,True
P_132,Participant_132,participant132@hackathon.com,mobile,"['Arduino', 'iOS Development', 'Flutter', 'IoT', 'React Native', 'Communication', 'Presentation', 'Android Development']",intermediate,Medium,Follow,True,True
P_133,Participant_133,participant133@hackathon.com,robotics,"['Sensors', 'Arduino', 'AgriTech', 'Embedded Systems', 'Communication', 'Presentation', 'Robotics', 'Strategy']",advanced,Medium,Collaborate,True,True
P_134,Participant_134,participant134@hackathon.com,cloud_devops,"['DevOps', 'Kubernetes', 'Teamwork', 'JavaScript', 'React']",advanced,High,Lead,False,True
P_135,Participant_135,participant135@hackathon.com,mobile,"['iOS Development', 'Flutter', 'React Native', 'Teamwork', 'React', 'Android Development']",beginner,Medium,Follow,True,False
P_136,Participant_136,participant136@hackathon.com,design,"['Sensors', 'UI/UX', 'Photoshop', 'Presentation', 'Design Systems']",advanced,Medium,Follow,False,False
P_137,Participant_137,participant137@hackathon.com,data_science,"['SQL', 'Machine Learning', 'React Native', 'Presentation', 'TensorFlow', 'PyTorch']",intermediate,High,Lead,True,True
P_138,Participant_138,participant138@hackathon.com,frontend,"['Communication', 'Angular', 'Teamwork', 'React', 'Strategy']",beginner,Medium,Collaborate,True,True
P_139,Participant_139,participant139@hackathon.com,robotics,"['Leadership', 'Arduino', 'Sensors', 'SQL', 'Django', 'IoT', 'Teamwork', 'Robotics']",intermediate,Medium,Follow,True,True
P_140,Participant_140,participant140@hackathon.com,robotics,"['Leadership', 'Arduino', 'iOS Development', 'IoT', 'React Native', 'Embedded Systems', 'Communication', 'Robotics']",beginner,Medium,Follow,True,True
P_141,Participant_141,participant141@hackathon.com,business,"['Leadership', 'Problem Solving', 'Product Management', 'AgriTech', 'Angular', 'FinTech']",beginner,High,Follow,True,False
P_142,Participant_142,participant142@hackathon.com,robotics,"['Sensors', 'Problem Solving', 'IoT', 'Embedded Systems', 'Presentation', 'Robotics', 'FinTech']",beginner,Medium,Collaborate,True,False
P_143,Participant_143,participant143@hackathon.com,backend,"['Prototyping', 'Flask', 'SQL', 'Figma', 'Teamwork']",beginner,High,Lead,True,True
P_144,Participant_144,participant144@hackathon.com,data_science,"['Machine Learning', 'Presentation', 'Data Analysis', 'TensorFlow', 'Android Development', 'PyTorch']",beginner,Medium,Lead,True,False
P_145,Participant_145,participant145@hackathon.com,mobile,"['Prototyping', 'iOS Development', 'Flutter', 'React Native', 'Figma', 'Communication', 'Android Development']",advanced,High,Collaborate,True,False
P_146,Participant_146,participant146@hackathon.com,design,"['AWS', 'Prototyping', 'Leadership', 'UI/UX', 'Docker', 'Design Systems']",beginner,High,Collaborate,True,False
P_147,Participant_147,participant147@hackathon.com,robotics,"['Sensors', 'IoT', 'Presentation', 'Data Analysis', 'Robotics']",beginner,Low,Follow,False,True
P_148,Participant_148,participant148@hackathon.com,design,"['Prototyping', 'UI/UX', 'Photoshop', 'AgriTech', 'Communication', 'Presentation', 'Strategy']",intermediate,High,Follow,True,True
P_149,Participant_149,participant149@hackathon.com,backend,"['Leadership', 'SQL', 'Problem Solving', 'Django', 'Scikit-learn']",beginner,Low,Follow,True,False
P_150,Participant_150,participant150@hackathon.com,data_science,"['Problem Solving', 'Photoshop', 'Machine Learning', 'Communication', 'Data Analysis', 'TensorFlow']",intermediate,Medium,Lead,True,True
P_151,Participant_151,participant151@hackathon.com,cloud_devops,"['AWS', 'Problem Solving', 'Flutter', 'Azure', 'Docker', 'Communication', 'Kubernetes']",beginner,Medium,Lead,True,True
P_152,Participant_152,participant152@hackathon.com,business,"['Presentation', 'SQL', 'Market Research', 'FinTech']",advanced,Medium,Collaborate,True,False
P_153,Participant_153,participant153@hackathon.com,cloud_devops,"['AWS', 'Problem Solving', 'Docker', 'Teamwork', 'TensorFlow']",intermediate,Medium,Follow,True,True
P_154,Participant_154,participant154@hackathon.com,backend,"['Java', 'Leadership', 'Node.js', 'Robotics']",beginner,Low,Collaborate,True,True
P_155,Participant_155,participant155@hackathon.com,backend,"['Flask', 'Python', 'Problem Solving', 'Django', 'Presentation', 'Java', 'Strategy']",intermediate,High,Follow,True,False
P_156,Participant_156,participant156@hackathon.com,ai_ml,"['Leadership', 'Computer Vision', 'Scikit-learn', 'Deep Learning', 'Android Development']",intermediate,Low,Lead,False,True
P_157,Participant_157,participant157@hackathon.com,backend,"['Python', 'SQL', 'Machine Learning', 'Communication', 'Presentation', 'Java']",advanced,Medium,Follow,False,True
P_158,Participant_158,participant158@hackathon.com,backend,"['Leadership', 'Python', 'Node.js', 'Django', 'Angular', 'Teamwork', 'Java', 'HTML']",beginner,High,Follow,True,True
P_159,Participant_159,participant159@hackathon.com,data_science,"['SQL', 'Problem Solving', 'Machine Learning', 'Communication', 'Robotics', 'TensorFlow', 'PyTorch']",beginner,Low,Collaborate,True,True
P_160,Participant_160,participant160@hackathon.com,mobile,"['iOS Development', 'Flutter', 'React Native', 'Communication', 'Presentation', 'Android Development', 'PyTorch']",intermediate,Low,Collaborate,True,False
